127.0.0.1 - - [12/Jan/2017:18:48:37 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jan/2017:18:48:54 +0100] "GET /greeting HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [12/Jan/2017:18:49:01 +0100] "GET /coteraz HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [12/Jan/2017:18:49:06 +0100] "GET /coterazapp HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [12/Jan/2017:18:49:19 +0100] "GET /CoTerazApp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:18:49:19 +0100] "GET /CoTerazApp/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Jan/2017:18:49:35 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [12/Jan/2017:18:49:48 +0100] "GET /CoTerazApp/mvc/all HTTP/1.1" 200 5937
192.168.0.3 - - [12/Jan/2017:19:33:44 +0100] "GET /glod HTTP/1.1" 404 1002
192.168.0.3 - - [12/Jan/2017:19:35:40 +0100] "GET /glod HTTP/1.1" 404 1002
192.168.0.3 - - [12/Jan/2017:19:36:40 +0100] "GET /glod HTTP/1.1" 404 1002
192.168.0.3 - - [12/Jan/2017:19:38:34 +0100] "GET /glod HTTP/1.1" 404 1002
192.168.0.3 - - [12/Jan/2017:19:40:17 +0100] "GET /glod HTTP/1.1" 404 1002
192.168.0.3 - - [12/Jan/2017:19:40:25 +0100] "GET /CoTerazApp/mvc/glod HTTP/1.1" 200 1433
192.168.0.3 - - [12/Jan/2017:19:43:43 +0100] "GET /CoTerazApp/mvc/glod HTTP/1.1" 200 1433
192.168.0.3 - - [12/Jan/2017:19:47:18 +0100] "GET /CoTerazApp/mvc/glod HTTP/1.1" 200 1433
192.168.0.3 - - [12/Jan/2017:19:54:11 +0100] "GET /CoTerazApp/mvc/glod HTTP/1.1" 200 1433
192.168.0.3 - - [12/Jan/2017:19:56:38 +0100] "GET /CoTerazApp/mvc/glod HTTP/1.1" 200 1433
192.168.0.3 - - [12/Jan/2017:19:58:29 +0100] "GET /CoTerazApp/mvc/glod HTTP/1.1" 200 1433
192.168.0.3 - - [12/Jan/2017:20:10:46 +0100] "GET /CoTerazApp/mvc/glod HTTP/1.1" 200 1433
192.168.0.3 - - [12/Jan/2017:20:13:07 +0100] "GET /CoTerazApp/mvc/glod HTTP/1.1" 200 1433
192.168.0.4 - - [12/Jan/2017:21:44:32 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:21:47:46 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:21:50:52 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:21:56:27 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:21:57:15 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:21:59:27 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:21:59:27 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:02:27 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:02:27 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:03:52 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:03:53 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:08:59 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:08:59 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:12:45 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:12:45 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
192.168.0.4 - - [12/Jan/2017:22:16:21 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1205
